cluster,METEOR_base,count,METEOR_aug,METEOR_delta
286,48.83200708266845,2,54.94037332675006,6.1083662440816155
114,48.65550524256773,11,44.523006436496445,-4.132498806071283
237,48.282564217968186,5,48.581589194680326,0.2990249767121398
96,48.2662446694031,6,52.79663952979802,4.530394860394921
136,47.76787108122724,3,57.798129490434114,10.030258409206873
99,47.42409713324132,20,51.75183239232249,4.327735259081173
246,47.42175836108722,6,31.761580377425293,-15.660177983661928
251,47.33511629971592,2,51.98979367116826,4.654677371452337
160,47.228371544442815,5,48.8964866603643,1.6681151159214878
48,47.18609755777575,15,49.0579655222205,1.8718679644447462
20,47.0167062320938,7,50.75963382135567,3.7429275892618676
234,46.98421472343888,8,32.260244011477326,-14.723970711961556
15,46.975352077306944,56,50.74088217539004,3.7655300980830972
300,46.63896083648482,63,48.92041269164034,2.2814518551555167
76,46.49239520744897,6,46.93344065971385,0.44104545226488057
112,46.4661406274836,129,45.70244959050532,-0.7636910369782797
113,46.30989550054996,25,43.84454113827729,-2.46535436227267
277,46.28673341963232,68,48.027954081851966,1.7412206622196464
156,46.117894160964006,15,49.005741847618125,2.887847686654119
52,46.02947416134887,3,38.820226359135525,-7.209247802213348
305,45.93918680930455,9,54.73573633650621,8.796549527201655
132,45.88413529499231,12,48.566251460480686,2.682116165488374
170,45.8785384012267,32,46.68438680381864,0.8058484025919412
194,45.80916940341936,4,45.74171503513122,-0.06745436828813922
167,45.527963681548655,2,27.63030638612034,-17.897657295428317
191,45.451978439934585,30,48.66325519768078,3.211276757746198
69,45.43406568356518,5,52.08802370314595,6.65395801958077
179,45.39683873299591,6,48.60128129583229,3.204442562836377
74,45.356949829613605,4,43.45075290787526,-1.906196921738342
232,45.22663906695874,16,45.27806433947339,0.05142527251464912
42,45.19007749408402,18,42.95108782645924,-2.2389896676247787
283,44.72382340599395,2,41.451195862960574,-3.272627543033373
158,44.61736089733734,17,41.40153579689563,-3.2158251004417124
109,44.58242923157614,111,45.77795609640757,1.1955268648314288
244,44.10138199396439,12,52.03872418968245,7.93734219571806
2,43.901560634010025,8,52.74934779284088,8.847787158830855
209,43.895833333333336,2,55.425170068027214,11.529336734693878
19,43.80530542383784,32,49.79522896970366,5.989923545865821
117,43.761165992115714,35,38.0349723066432,-5.726193685472516
